NOC,Event,medalcount
POL,Sailing Men's One Person Dinghy,1
POL,Swimming Women's 100 metres Butterfly,1
POL,Swimming Women's 200 metres Butterfly,1
POL,Swimming Women's 400 metres Freestyle,1
POR,"Athletics Men's 1,500 metres",1
POR,Athletics Men's 100 metres,1
POR,"Cycling Men's Road Race, Individual",1
PRK,Boxing Men's Featherweight,1
PRK,Judo Women's Lightweight,1
PRK,"Shooting Men's Free Pistol, 50 metres",2
PRK,Table Tennis Women's Singles,2
ROU,Athletics Men's Triple Jump,1
ROU,Athletics Women's 400 metres Hurdles,1
ROU,Boxing Men's Light-Welterweight,1
ROU,Gymnastics Men's Floor Exercise,1
ROU,Gymnastics Men's Horse Vault,1
ROU,Gymnastics Men's Team All-Around,1
ROU,Gymnastics Women's Balance Beam,2
ROU,Swimming Men's 200 metres Backstroke,1
ROU,Swimming Women's 200 metres Freestyle,1
RSA,Athletics Men's 800 metres,1
RSA,Rowing Men's Coxless Pairs,2
RSA,Swimming Men's 100 metres Freestyle,1
RSA,Swimming Men's 4 x 100 metres Freestyle Relay,1
RSA,Swimming Men's 50 metres Freestyle,1
RUS,Athletics Men's 50 kilometres Walk,4
RUS,Athletics Men's 800 metres,1
RUS,"Athletics Women's 1,500 metres",1
RUS,Athletics Women's 20 kilometres Walk,4
RUS,Athletics Women's 4 x 100 metres Relay,2
RUS,Athletics Women's 400 metres,1
RUS,Athletics Women's Discus Throw,2
RUS,Athletics Women's Pole Vault,5
RUS,Basketball Women's Basketball,2
RUS,Boxing Men's Light-Flyweight,2
RUS,Boxing Men's Super-Heavyweight,1
RUS,"Canoeing Men's Canadian Doubles, 1,000 metres",2
RUS,"Canoeing Men's Canadian Doubles, 500 metres",2
RUS,"Cycling Women's Road Race, Individual",2
RUS,Diving Women's Springboard,2
RUS,Diving Women's Synchronized Platform,1
RUS,"Fencing Men's Foil, Team",2
RUS,Gymnastics Women's Individual All-Around,4
RUS,Judo Men's Half-Middleweight,3
RUS,Judo Men's Lightweight,2
RUS,Judo Men's Middleweight,1
RUS,Judo Women's Heavyweight,1
RUS,Rowing Men's Quadruple Sculls,1
RUS,"Shooting Men's Air Pistol, 10 metres",2
RUS,"Shooting Men's Free Pistol, 50 metres",2
RUS,"Shooting Men's Running Target, 10 metres",2
RUS,Shooting Men's Trap,2
RUS,"Shooting Women's Air Rifle, 10 metres",2
RUS,Swimming Women's 200 metres Backstroke,2
RUS,Weightlifting Men's Heavyweight,4
RUS,Weightlifting Women's Heavyweight,4
RUS,Weightlifting Women's Light-Heavyweight,2
RUS,"Wrestling Men's Featherweight, Freestyle",3
RUS,"Wrestling Men's Featherweight, Greco-Roman",3
RUS,"Wrestling Men's Light-Heavyweight, Greco-Roman",3
RUS,"Wrestling Men's Middleweight, Freestyle",4
RUS,"Wrestling Women's Heavyweight, Freestyle",3
SLO,Athletics Women's 800 metres,1
SLO,Judo Women's Half-Middleweight,3
SLO,Sailing Mixed One Person Dinghy,1
SUI,Beach Volleyball Men's Beach Volleyball,1
SUI,Cycling Men's Madison,1
SUI,Cycling Women's Individual Time Trial,2
SUI,"Fencing Men's epee, Individual",1
SUI,Triathlon Men's Olympic Distance,1
SVK,"Canoeing Men's Kayak Fours, 1,000 metres",3
SVK,"Canoeing Women's Kayak Singles, Slalom",2
SVK,Judo Men's Half-Lightweight,1
SVK,"Shooting Men's Air Rifle, 10 metres",1
SWE,Athletics Men's High Jump,1
SWE,Athletics Men's Triple Jump,1
SWE,Athletics Women's Heptathlon,1
SWE,"Equestrianism Mixed Jumping, Team",1
SWE,Sailing Women's Two Person Dinghy,1
SWE,"Wrestling Men's Light-Heavyweight, Greco-Roman",1
SYR,Boxing Men's Heavyweight,1
THA,Boxing Men's Bantamweight,1
THA,Boxing Men's Light-Welterweight,2
THA,Boxing Men's Middleweight,1
THA,Taekwondo Women's Flyweight,4
THA,Weightlifting Women's Featherweight,2
THA,Weightlifting Women's Flyweight,2
THA,Weightlifting Women's Heavyweight,1
TPE,Archery Men's Team,1
TPE,Archery Women's Team,2
TPE,Taekwondo Men's Featherweight,2
TTO,Swimming Men's 200 metres Individual Medley,1
TUR,Athletics Men's Hammer Throw,1
TUR,Boxing Men's Light-Flyweight,1
TUR,Taekwondo Men's Welterweight,1
TUR,Weightlifting Men's Middleweight,2
TUR,Weightlifting Women's Flyweight,2
TUR,"Wrestling Men's Heavyweight, Greco-Roman",2
TUR,"Wrestling Men's Super-Heavyweight, Freestyle",2
TUR,"Wrestling Men's Welterweight, Greco-Roman",1
UAE,Shooting Men's Double Trap,1
UKR,Archery Men's Team,1
UKR,Athletics Women's 100 metres Hurdles,1
UKR,Athletics Women's 400 metres Hurdles,1
UKR,Athletics Women's High Jump,1
UKR,"Canoeing Women's Kayak Fours, 500 metres",1
UKR,"Fencing Men's Sabre, Individual",1
UKR,Gymnastics Men's Parallel Bars,2
UKR,Handball Women's Handball,1
UKR,Judo Men's Half-Middleweight,2
UKR,Rhythmic Gymnastics Women's Individual,3
UKR,Rowing Men's Quadruple Sculls,1
UKR,Sailing Mixed Skiff,1
UKR,Sailing Women's Three Person Keelboat,1
UKR,"Shooting Women's Air Pistol, 10 metres",2
UKR,Swimming Men's 100 metres Butterfly,1
UKR,Trampolining Men's Individual,1
UKR,Weightlifting Men's Heavyweight,2
UKR,Weightlifting Women's Middleweight,1
UKR,"Wrestling Men's Welterweight, Freestyle",2
UKR,"Wrestling Women's Flyweight, Freestyle",2
USA,Athletics Men's 200 metres,5
USA,Athletics Men's 4 x 400 metres Relay,4
USA,Athletics Men's High Jump,2
USA,Athletics Men's Long Jump,4
USA,Athletics Men's Marathon,2
USA,Athletics Women's 100 metres,3
USA,Athletics Women's 200 metres,5
USA,Athletics Women's Marathon,1
USA,Beach Volleyball Women's Beach Volleyball,6
USA,Boxing Men's Light-Heavyweight,1
USA,Boxing Men's Middleweight,1
USA,"Canoeing Women's Kayak Singles, Slalom",1
USA,Cycling Men's Individual Time Trial,2
USA,"Equestrianism Mixed Jumping, Individual",2
USA,"Equestrianism Mixed Jumping, Team",3
USA,"Fencing Women's Sabre, Individual",5
USA,Gymnastics Men's Horizontal Bar,3
USA,Gymnastics Men's Individual All-Around,2
USA,Gymnastics Men's Team All-Around,2
USA,Gymnastics Women's Balance Beam,6
USA,Gymnastics Women's Horse Vault,3
USA,Gymnastics Women's Individual All-Around,6
USA,Gymnastics Women's Uneven Bars,4
USA,Judo Men's Lightweight,1
USA,Rowing Men's Coxed Eights,2
USA,Rowing Women's Coxed Eights,4
USA,Sailing Mixed Multihull,1
USA,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",2
USA,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",2
USA,Swimming Men's 100 metres Butterfly,5
USA,Swimming Men's 200 metres Breaststroke,2
USA,Swimming Men's 200 metres Freestyle,4
USA,Swimming Women's 100 metres Backstroke,5
USA,Swimming Women's 400 metres Individual Medley,4
USA,Synchronized Swimming Women's Duet,1
USA,Synchronized Swimming Women's Team,1
USA,Taekwondo Men's Welterweight,2
USA,Taekwondo Women's Featherweight,2
USA,Tennis Men's Singles,1
USA,Triathlon Women's Olympic Distance,2
USA,"Wrestling Men's Light-Heavyweight, Freestyle",2
USA,"Wrestling Women's Flyweight, Freestyle",2
USA,"Wrestling Women's Middleweight, Freestyle",2
UZB,Boxing Men's Bantamweight,2
UZB,"Wrestling Men's Heavyweight, Freestyle",2
UZB,"Wrestling Men's Middleweight, Greco-Roman",1
VEN,Taekwondo Women's Heavyweight,1
VEN,Weightlifting Men's Featherweight,1
ZIM,Swimming Women's 100 metres Backstroke,2
ZIM,Swimming Women's 200 metres Backstroke,0
ZIM,Swimming Women's 200 metres Individual Medley,1
MAR,Athletics Men's Marathon,1
AFG,Taekwondo Men's Flyweight,1
ALG,Judo Men's Middleweight,1
ALG,Judo Women's Half-Lightweight,1
ARG,Cycling Men's Madison,1
ARG,Judo Women's Extra-Lightweight,2
ARM,Boxing Men's Lightweight,1
ARM,Weightlifting Men's Light-Heavyweight,1
ARM,Weightlifting Men's Lightweight,1
ARM,"Wrestling Men's Featherweight, Greco-Roman",1
ARM,"Wrestling Men's Super-Heavyweight, Greco-Roman",1
AUS,Athletics Men's 50 kilometres Walk,3
AUS,Athletics Men's Pole Vault,1
AUS,Athletics Women's 100 metres Hurdles,2
AUS,"Canoeing Men's Canadian Singles, Slalom",1
AUS,"Canoeing Men's Kayak Singles, 1,000 metres",1
AUS,"Canoeing Women's Kayak Fours, 500 metres",1
AUS,"Canoeing Women's Kayak Singles, Slalom",3
AUS,Rowing Men's Double Sculls,1
AUS,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",1
AUS,Swimming Men's 200 metres Breaststroke,1
AUS,Swimming Women's 200 metres Individual Medley,2
AUS,Swimming Women's 400 metres Individual Medley,1
AUT,"Canoeing Women's Kayak Singles, Slalom",1
AUT,Judo Men's Extra-Lightweight,1
AUT,Swimming Women's 100 metres Breaststroke,1
AZE,Boxing Men's Featherweight,1
AZE,Judo Men's Half-Heavyweight,2
AZE,Judo Men's Lightweight,2
AZE,"Wrestling Men's Featherweight, Greco-Roman",2
AZE,"Wrestling Men's Heavyweight, Freestyle",3
AZE,"Wrestling Men's Lightweight, Greco-Roman",1
AZE,"Wrestling Women's Flyweight, Freestyle",3
BAH,Athletics Men's Triple Jump,1
BEL,Athletics Women's 4 x 100 metres Relay,1
BEL,Athletics Women's High Jump,1
BLR,Athletics Men's Decathlon,1
BLR,Athletics Women's Hammer Throw,1
BLR,"Canoeing Men's Canadian Doubles, 1,000 metres",2
BLR,"Canoeing Men's Kayak Fours, 1,000 metres",1
BLR,Weightlifting Men's Heavyweight,1
BLR,Weightlifting Women's Featherweight,1
BLR,"Wrestling Men's Middleweight, Freestyle",1
BLR,"Wrestling Men's Welterweight, Greco-Roman",1
BRA,Athletics Women's Long Jump,1
BRA,Football Men's Football,3
BRA,Judo Women's Lightweight,2
BRA,Sailing Women's Two Person Dinghy,1
BRA,Swimming Men's 100 metres Freestyle,1
BRA,Swimming Men's 50 metres Freestyle,2
BRA,Taekwondo Women's Heavyweight,1
BUL,"Wrestling Men's Featherweight, Freestyle",1
BUL,"Wrestling Men's Middleweight, Freestyle",1
BUL,"Wrestling Men's Middleweight, Greco-Roman",1
BUL,"Wrestling Women's Heavyweight, Freestyle",2
CAN,Athletics Men's Shot Put,1
CAN,Athletics Women's 100 metres Hurdles,1
CAN,"Equestrianism Mixed Jumping, Individual",2
CAN,"Equestrianism Mixed Jumping, Team",1
CAN,Rowing Men's Coxed Eights,2
CAN,Rowing Men's Coxless Pairs,1
CAN,Rowing Men's Lightweight Coxless Fours,1
CAN,Rowing Women's Lightweight Double Sculls,2
CAN,"Swimming Men's 1,500 metres Freestyle",2
CAN,Taekwondo Women's Welterweight,1
CAN,"Wrestling Women's Flyweight, Freestyle",2
CHN,Archery Men's Team,1
CHN,Archery Women's Individual,1
CHN,Athletics Women's Hammer Throw,2
CHN,Athletics Women's Marathon,1
CHN,Badminton Men's Doubles,3
CHN,Beach Volleyball Women's Beach Volleyball,2
CHN,Boxing Men's Light-Heavyweight,1
CHN,Boxing Men's Super-Heavyweight,1
CHN,Boxing Men's Welterweight,1
CHN,Cycling Women's Sprint,2
CHN,"Fencing Men's Sabre, Individual",1
CHN,"Fencing Women's Sabre, Team",1
CHN,Gymnastics Men's Floor Exercise,2
CHN,Gymnastics Men's Horizontal Bar,2
CHN,Gymnastics Men's Rings,3
CHN,Gymnastics Women's Horse Vault,1
CHN,Gymnastics Women's Team All-Around,2
CHN,Hockey Women's Hockey,1
CHN,Judo Women's Lightweight,1
CHN,Rhythmic Gymnastics Women's Group,1
CHN,Rowing Women's Coxless Pairs,1
CHN,Rowing Women's Quadruple Sculls,1
CHN,Sailing Women's One Person Dinghy,2
CHN,"Shooting Men's Free Pistol, 50 metres",2
CHN,Swimming Men's 400 metres Freestyle,3
CHN,Swimming Women's 200 metres Butterfly,3
CHN,Swimming Women's 200 metres Freestyle,1
CHN,Swimming Women's 4 x 100 metres Medley Relay,1
CHN,Synchronized Swimming Women's Team,3
CHN,Table Tennis Men's Team,3
CHN,Table Tennis Women's Team,3
CHN,Taekwondo Men's Welterweight,1
CHN,Taekwondo Women's Flyweight,2
CHN,Trampolining Men's Individual,6
CHN,Weightlifting Men's Light-Heavyweight,2
CHN,Weightlifting Women's Heavyweight,1
CHN,"Wrestling Men's Middleweight, Greco-Roman",1
CHN,"Wrestling Women's Lightweight, Freestyle",1
COL,Weightlifting Men's Featherweight,3
COL,"Wrestling Women's Lightweight, Freestyle",2
CRO,Athletics Women's High Jump,2
CRO,Gymnastics Men's Pommelled Horse,1
CRO,"Shooting Women's Air Rifle, 10 metres",1
CRO,Taekwondo Women's Featherweight,1
CRO,Taekwondo Women's Welterweight,1
CUB,Athletics Men's Decathlon,2
CUB,Athletics Women's Discus Throw,2
CUB,Cycling Women's Points Race,1
CUB,Judo Men's Heavyweight,1
CUB,Judo Women's Extra-Lightweight,1
CUB,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",1
CUB,"Wrestling Men's Super-Heavyweight, Greco-Roman",3
CZE,Athletics Women's Javelin Throw,3
CZE,Rowing Men's Single Sculls,3
CZE,Shooting Men's Trap,1
CZE,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",2
DEN,"Canoeing Men's Kayak Doubles, 1,000 metres",1
DEN,"Cycling Men's Team Pursuit, 4,000 metres",2
DEN,"Equestrianism Mixed Dressage, Team",1
DEN,Rowing Men's Lightweight Double Sculls,2
DEN,Sailing Mixed Skiff,1
DEN,Swimming Women's 800 metres Freestyle,1
DOM,Boxing Men's Light-Welterweight,1
DOM,Taekwondo Men's Flyweight,2
ECU,Athletics Men's 20 kilometres Walk,1
EGY,Judo Men's Middleweight,1
ESP,Basketball Men's Basketball,3
ESP,"Canoeing Men's Kayak Doubles, 500 metres",1
ESP,Cycling Men's Madison,1
ESP,"Cycling Men's Road Race, Individual",1
ESP,Cycling Women's Points Race,1
ESP,"Fencing Men's epee, Individual",1
ESP,Gymnastics Men's Floor Exercise,1
ESP,Hockey Men's Hockey,1
ESP,Sailing Mixed Multihull,1
ESP,Synchronized Swimming Women's Duet,2
ESP,Synchronized Swimming Women's Team,2
ESP,Tennis Men's Singles,1
EST,Rowing Men's Double Sculls,1
FIN,Athletics Men's Javelin Throw,2
FIN,Rowing Women's Lightweight Double Sculls,1
FIN,"Shooting Men's Air Rifle, 10 metres",1
FIN,Shooting Women's Trap,1
FRA,Archery Women's Team,1
FRA,"Athletics Men's 1,500 metres",1
FRA,"Athletics Men's 3,000 metres Steeplechase",3
FRA,Boxing Men's Featherweight,1
FRA,Boxing Men's Lightweight,2
FRA,Boxing Men's Light-Welterweight,1
FRA,"Canoeing Women's Kayak Doubles, 500 metres",1
FRA,Cycling Women's BMX,2
FRA,Gymnastics Men's Horse Vault,1
FRA,Gymnastics Men's Individual All-Around,1
FRA,Handball Men's Handball,3
FRA,Rowing Men's Coxless Fours,1
FRA,Rowing Men's Quadruple Sculls,1
FRA,Sailing Men's Two Person Dinghy,1
FRA,Sailing Men's Windsurfer,2
FRA,Sailing Mixed One Person Dinghy,1
FRA,Shooting Men's Skeet,1
FRA,Swimming Men's 100 metres Freestyle,1
FRA,Swimming Men's 200 metres Breaststroke,1
FRA,Swimming Men's 4 x 100 metres Freestyle Relay,3
FRA,Swimming Men's 50 metres Freestyle,4
FRA,Taekwondo Women's Welterweight,2
FRA,Weightlifting Men's Lightweight,1
FRA,"Wrestling Men's Middleweight, Greco-Roman",1
FRA,"Wrestling Men's Welterweight, Greco-Roman",2
GBR,Athletics Men's 4 x 400 metres Relay,1
GBR,Athletics Men's High Jump,2
GBR,Athletics Women's 400 metres Hurdles,1
GBR,Boxing Men's Light-Heavyweight,2
GBR,Boxing Men's Middleweight,2
GBR,"Canoeing Men's Canadian Singles, Slalom",1
GBR,Cycling Men's Keirin,4
GBR,Cycling Men's Points Race,1
GBR,Cycling Men's Sprint,5
GBR,Cycling Women's Individual Time Trial,1
GBR,"Cycling Women's Road Race, Individual",2
GBR,Cycling Women's Sprint,4
GBR,Gymnastics Men's Pommelled Horse,5
GBR,Rowing Men's Double Sculls,1
GBR,Rowing Men's Lightweight Double Sculls,2
GBR,Sailing Men's Two Person Keelboat,2
GBR,Sailing Women's Windsurfer,1
GBR,Swimming Men's 10 kilometres Open Water,1
GBR,Swimming Women's 10 kilometres Open Water,2
GBR,Swimming Women's 400 metres Freestyle,4
GBR,Swimming Women's 800 metres Freestyle,3
GBR,Taekwondo Women's Heavyweight,2
GEO,"Shooting Women's Air Pistol, 10 metres",1
GEO,"Wrestling Men's Light-Heavyweight, Freestyle",2
GEO,"Wrestling Men's Middleweight, Greco-Roman",1
GEO,"Wrestling Men's Welterweight, Freestyle",1
GER,"Canoeing Men's Canadian Doubles, 500 metres",1
GER,"Canoeing Men's Kayak Doubles, 1,000 metres",3
GER,"Canoeing Women's Kayak Singles, 500 metres",1
GER,Diving Women's Synchronized Springboard,1
GER,"Equestrianism Mixed Three-Day Event, Individual",4
GER,"Equestrianism Mixed Three-Day Event, Team",3
GER,"Fencing Women's epee, Individual",2
GER,Gymnastics Men's Horizontal Bar,3
GER,Gymnastics Women's Horse Vault,1
GER,Judo Men's Half-Middleweight,2
GER,Modern Pentathlon Women's Individual,1
GER,Sailing Mixed Skiff,1
GER,Shooting Women's Skeet,1
GER,"Shooting Women's Sporting Pistol, 25 metres",2
GER,Swimming Men's 10 kilometres Open Water,2
GER,Swimming Women's 100 metres Freestyle,1
GER,Swimming Women's 50 metres Freestyle,1
GER,Table Tennis Men's Team,3
GER,"Wrestling Men's Heavyweight, Greco-Roman",1
GRE,Sailing Women's Three Person Keelboat,1
HUN,Swimming Men's 200 metres Butterfly,2
HUN,Swimming Men's 200 metres Individual Medley,2
INA,Badminton Women's Singles,1
INA,Weightlifting Men's Bantamweight,1
INA,Weightlifting Men's Featherweight,3
IND,Boxing Men's Middleweight,1
IND,"Shooting Men's Air Rifle, 10 metres",2
IND,"Wrestling Men's Welterweight, Freestyle",2
IRL,Boxing Men's Light-Flyweight,2
IRL,Boxing Men's Light-Heavyweight,1
IRL,Boxing Men's Middleweight,1
ISL,Handball Men's Handball,1
ITA,Athletics Men's 50 kilometres Walk,1
ITA,Athletics Women's 20 kilometres Walk,1
ITA,Boxing Men's Flyweight,1
ITA,Boxing Men's Heavyweight,2
ITA,"Cycling Women's Road Race, Individual",2
ITA,"Fencing Men's epee, Individual",1
ITA,Judo Women's Lightweight,1
ITA,Shooting Men's Double Trap,2
ITA,Shooting Women's Skeet,3
ITA,Swimming Women's 800 metres Freestyle,1
ITA,Taekwondo Men's Welterweight,2
ITA,"Wrestling Men's Light-Heavyweight, Greco-Roman",1
JAM,Athletics Men's 100 metres,4
JAM,Athletics Men's 200 metres,5
JPN,Athletics Men's 4 x 100 metres Relay,2
JPN,Cycling Men's Keirin,1
JPN,"Fencing Men's Foil, Individual",1
JPN,Gymnastics Men's Individual All-Around,3
KAZ,Boxing Men's Light-Heavyweight,3
KAZ,Judo Men's Half-Heavyweight,1
KAZ,Taekwondo Men's Heavyweight,1
KAZ,Weightlifting Men's Middle-Heavyweight,2
KAZ,Weightlifting Women's Heavyweight,2
KAZ,Weightlifting Women's Middleweight,3
KAZ,Weightlifting Women's Super-Heavyweight,1
KAZ,"Wrestling Men's Heavyweight, Greco-Roman",1
KAZ,"Wrestling Men's Lightweight, Greco-Roman",1
KAZ,"Wrestling Men's Super-Heavyweight, Freestyle",1
KAZ,"Wrestling Women's Middleweight, Freestyle",2
KEN,Athletics Men's 800 metres,5
KEN,"Athletics Women's 1,500 metres",2
KEN,"Athletics Women's 10,000 metres",4
KEN,"Athletics Women's 3,000 metres Steeplechase",2
KEN,Athletics Women's 800 metres,3
KGZ,"Wrestling Men's Lightweight, Greco-Roman",1
KGZ,"Wrestling Men's Welterweight, Greco-Roman",1
KOR,Archery Men's Individual,3
KOR,Badminton Mixed Doubles,1
KOR,"Fencing Women's Foil, Individual",1
KOR,Judo Women's Half-Heavyweight,1
KOR,"Shooting Men's Air Pistol, 10 metres",2
KOR,Swimming Men's 200 metres Freestyle,2
KOR,Swimming Men's 400 metres Freestyle,2
KOR,Table Tennis Men's Team,2
KOR,Table Tennis Women's Team,1
KOR,Weightlifting Men's Middleweight,1
KOR,Weightlifting Women's Featherweight,2
LAT,Cycling Men's BMX,2
LTU,Sailing Women's One Person Dinghy,1
LTU,"Wrestling Men's Super-Heavyweight, Greco-Roman",1
MAS,Badminton Men's Singles,3
MDA,Boxing Men's Bantamweight,1
MEX,Diving Women's Synchronized Platform,2
MEX,Taekwondo Women's Heavyweight,3
MGL,Boxing Men's Bantamweight,1
MGL,Boxing Men's Light-Flyweight,1
MGL,Judo Men's Half-Heavyweight,2
MGL,"Shooting Women's Sporting Pistol, 25 metres",1
MRI,Boxing Men's Bantamweight,1
NED,Judo Men's Extra-Lightweight,1
NED,Judo Men's Half-Heavyweight,2
NED,Judo Women's Half-Middleweight,2
NED,Sailing Women's Three Person Keelboat,1
NED,Sailing Women's Two Person Dinghy,2
NED,Swimming Men's 10 kilometres Open Water,2
NED,Water Polo Women's Water Polo,1
NGR,Athletics Women's 4 x 100 metres Relay,1
NGR,Athletics Women's Long Jump,1
NGR,Football Men's Football,2
NGR,Taekwondo Men's Heavyweight,1
NOR,Shooting Men's Skeet,1
NOR,Swimming Men's 100 metres Breaststroke,1
NOR,Swimming Women's 200 metres Breaststroke,1
NOR,Taekwondo Women's Heavyweight,1
NZL,"Athletics Men's 1,500 metres",2
NZL,Athletics Women's Shot Put,3
NZL,"Cycling Men's Individual Pursuit, 4,000 metres",1
NZL,"Cycling Men's Team Pursuit, 4,000 metres",2
NZL,Rowing Men's Coxless Pairs,3
PAN,Athletics Men's Long Jump,1
POL,Athletics Men's Discus Throw,2
POL,Athletics Men's Shot Put,2
POL,"Cycling Women's Mountainbike, Cross-Country",2
POL,"Fencing Men's epee, Team",1
POL,Rowing Men's Lightweight Coxless Fours,1
POL,Rowing Men's Quadruple Sculls,1
POL,"Wrestling Women's Heavyweight, Freestyle",1
POR,Athletics Men's Triple Jump,1
POR,Triathlon Women's Olympic Distance,1
PRK,Gymnastics Women's Horse Vault,1
PRK,Judo Men's Half-Lightweight,1
PRK,Judo Women's Half-Middleweight,1
PRK,Weightlifting Women's Middleweight,2
ROU,"Fencing Women's epee, Individual",1
ROU,Judo Women's Extra-Lightweight,2
RSA,Athletics Men's Long Jump,2
RUS,Archery Men's Individual,1
RUS,"Athletics Women's 3,000 metres Steeplechase",3
RUS,Athletics Women's Javelin Throw,1
RUS,Boxing Men's Flyweight,2
RUS,"Canoeing Men's Canadian Doubles, Slalom",1
RUS,Cycling Men's Madison,1
RUS,"Cycling Men's Road Race, Individual",1
RUS,"Cycling Women's Mountainbike, Cross-Country",1
RUS,"Fencing Women's Foil, Team",2
RUS,Handball Women's Handball,2
RUS,"Shooting Women's Air Pistol, 10 metres",2
RUS,Swimming Men's 100 metres Backstroke,1
RUS,Swimming Men's 200 metres Backstroke,2
RUS,Swimming Men's 4 x 200 metres Freestyle Relay,1
RUS,Swimming Women's 10 kilometres Open Water,1
RUS,Weightlifting Women's Lightweight,1
RUS,"Wrestling Men's Heavyweight, Greco-Roman",2
RUS,"Wrestling Women's Middleweight, Freestyle",2
SGP,Table Tennis Women's Team,2
SLO,Athletics Men's Hammer Throw,2
SLO,Judo Women's Heavyweight,1
SLO,Sailing Men's One Person Dinghy,1
SLO,Swimming Women's 200 metres Freestyle,1
SRB,Swimming Men's 100 metres Butterfly,1
SRB,Tennis Men's Singles,1
SRB,Water Polo Men's Water Polo,3
SUD,Athletics Men's 800 metres,1
SUI,Cycling Men's Individual Time Trial,2
SUI,"Cycling Men's Road Race, Individual",1
SUI,Judo Men's Middleweight,1
SUI,Tennis Men's Doubles,1
SVK,Shooting Women's Trap,2
SVK,"Wrestling Men's Super-Heavyweight, Freestyle",1
SWE,Cycling Men's Individual Time Trial,1
SWE,"Cycling Women's Road Race, Individual",2
SWE,"Equestrianism Mixed Jumping, Individual",2
SWE,Sailing Men's Two Person Keelboat,2
SWE,Tennis Men's Doubles,1
TJK,Judo Men's Lightweight,1
TJK,"Wrestling Men's Light-Heavyweight, Freestyle",1
TOG,"Canoeing Men's Kayak Singles, Slalom",1
TPE,Weightlifting Women's Flyweight,1
TPE,Weightlifting Women's Middleweight,1
TTO,Athletics Men's 4 x 100 metres Relay,2
TUN,"Swimming Men's 1,500 metres Freestyle",2
TUR,"Athletics Women's 5,000 metres",1
TUR,Boxing Men's Featherweight,1
TUR,Taekwondo Men's Featherweight,2
TUR,"Wrestling Men's Welterweight, Freestyle",1
UKR,Archery Men's Individual,1
UKR,Athletics Men's Pole Vault,1
UKR,"Athletics Women's 1,500 metres",2
UKR,Athletics Women's Discus Throw,1
UKR,Athletics Women's Heptathlon,1
UKR,Boxing Men's Featherweight,1
UKR,Boxing Men's Super-Heavyweight,1
UKR,"Canoeing Men's Canadian Singles, 500 metres",1
UKR,"Canoeing Women's Kayak Singles, 500 metres",2
UKR,"Cycling Women's Individual Pursuit, 3,000 metres",1
UKR,Diving Men's Synchronized Springboard,1
UKR,"Fencing Women's Sabre, Team",2
UKR,Gymnastics Men's Rings,1
UKR,Modern Pentathlon Women's Individual,1
UKR,"Shooting Men's Rapid-Fire Pistol, 25 metres",1
UKR,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",1
UKR,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",1
UKR,Weightlifting Women's Light-Heavyweight,1
UKR,Weightlifting Women's Super-Heavyweight,1
UKR,"Wrestling Men's Light-Heavyweight, Freestyle",1
UKR,"Wrestling Men's Lightweight, Freestyle",1
UKR,"Wrestling Men's Welterweight, Greco-Roman",1
USA,"Athletics Women's 10,000 metres",1
USA,Athletics Women's 400 metres,4
USA,Athletics Women's 400 metres Hurdles,4
USA,Athletics Women's Discus Throw,1
USA,Athletics Women's Heptathlon,1
USA,Boxing Men's Heavyweight,1
USA,Cycling Men's BMX,3
USA,Cycling Women's BMX,2
USA,"Fencing Men's Sabre, Team",1
USA,"Fencing Women's Foil, Team",1
USA,"Fencing Women's Sabre, Team",2
USA,Gymnastics Women's Floor Exercise,5
USA,Judo Women's Middleweight,1
USA,Rowing Women's Single Sculls,2
USA,Sailing Mixed One Person Dinghy,1
USA,Sailing Women's One Person Dinghy,1
USA,"Shooting Men's Air Pistol, 10 metres",1
USA,Shooting Men's Double Trap,1
USA,Shooting Women's Skeet,3
USA,Shooting Women's Trap,2
USA,Swimming Women's 200 metres Backstroke,4
USA,Tennis Men's Doubles,3
USA,Volleyball Men's Volleyball,2
USA,Volleyball Women's Volleyball,3
USA,Water Polo Men's Water Polo,1
UZB,Gymnastics Men's Parallel Bars,1
UZB,Judo Men's Extra-Lightweight,3
UZB,Judo Men's Heavyweight,1
UZB,Trampolining Women's Individual,1
UZB,"Wrestling Men's Middleweight, Freestyle",1
VEN,Taekwondo Women's Flyweight,1
VIE,Weightlifting Men's Bantamweight,1
ZIM,Swimming Women's 400 metres Individual Medley,1
AFG,Taekwondo Men's Featherweight,1
ALG,"Athletics Men's 1,500 metres",2
ARG,Taekwondo Men's Welterweight,1
ARG,Tennis Men's Singles,2
ARM,Weightlifting Women's Super-Heavyweight,1
ARM,"Wrestling Men's Heavyweight, Greco-Roman",2
ARM,"Wrestling Men's Middleweight, Greco-Roman",1
AUS,"Canoeing Men's Kayak Fours, 1,000 metres",1
AUS,Cycling Men's BMX,1
AUS,Cycling Women's Omnium,1
AUS,Cycling Women's Team Sprint,1
AUS,Rowing Men's Quadruple Sculls,2
AUS,Rowing Women's Double Sculls,1
